taxonomic_group	taxon_primer_hits	taxon_primer_misses	taxon_total_observed	total_filtered_seqs	fraction_total_filtered_sequences_mismatched	fraction_taxon_mismatched
d:Bacteria,p:Atribacteria,c:Caldatribacteriia,o:Caldatribacteriales		1	1	134751	.00000742	1.0000
d:Bacteria,p:Armatimonadetes,c:Chthonomonadetes,o:Chthonomonadales		1	1	134751	.00000742	1.0000
d:Bacteria,p:Actinobacteria,c:Thermoleophilia,o:Gaiellales		1	1	134751	.00000742	1.0000
d:Bacteria,p:Acidobacteria,c:Blastocatellia_(Subgroup_4),o:11-24		1	1	134751	.00000742	1.0000
d:Bacteria,p:Acetothermia,c:Acetothermiia,o:uncultured_bacterium		1	1	134751	.00000742	1.0000
d:Archaea,p:Crenarchaeota,c:Bathyarchaeia,o:uncultured_crenarchaeote		1	1	134751	.00000742	1.0000
d:Bacteria,p:Margulisbacteria,c:metagenome,o:metagenome	9.0000	1	10.0	134751	.00000742	.1000
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Milano-WF1B-44	10.0000	1	11.0	134751	.00000742	.0909
d:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Syntrophobacterales	10.0000	1	11.0	134751	.00000742	.0909
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Elsterales	10.0000	1	11.0	134751	.00000742	.0909
d:Bacteria,p:Omnitrophicaeota,c:uncultured_bacterium,o:uncultured_bacterium	11.0000	1	12.0	134751	.00000742	.0833
d:Bacteria,p:LCP-89,c:uncultured_bacterium,o:uncultured_bacterium	14.0000	1	15.0	134751	.00000742	.0666
d:Bacteria,p:Latescibacteria,c:Latescibacteria,o:Latescibacterales	15.0000	1	16.0	134751	.00000742	.0625
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:KI89A_clade	18.0000	1	19.0	134751	.00000742	.0526
d:Bacteria,p:Actinobacteria,c:Actinobacteria,o:PeM15	18.0000	1	19.0	134751	.00000742	.0526
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:uncultured	19.0000	1	20.0	134751	.00000742	.0500
d:Bacteria,p:Marinimicrobia_(SAR406_clade),c:uncultured_gamma_proteobacterium,o:uncultured_gamma_proteobacterium	23.0000	1	24.0	134751	.00000742	.0416
d:Bacteria,p:Planctomycetes,c:OM190,o:uncultured_marine_bacterium	25.0000	1	26.0	134751	.00000742	.0384
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhodovibrionales	28.0000	1	29.0	134751	.00000742	.0344
d:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Oligoflexales	38.0000	1	39.0	134751	.00000742	.0256
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Chromatiales	47.0000	1	48.0	134751	.00000742	.0208
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Nitrosococcales	51.0000	1	52.0	134751	.00000742	.0192
d:Bacteria,p:Planctomycetes,c:OM190,o:uncultured_bacterium	78.0000	1	79.0	134751	.00000742	.0126
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Ga0077536	86.0000	1	87.0	134751	.00000742	.0114
d:Bacteria,p:Dadabacteria,c:Dadabacteriia,o:Dadabacteriales	92.0000	1	93.0	134751	.00000742	.0107
d:Bacteria,p:Verrucomicrobia,c:Verrucomicrobiae,o:Verrucomicrobiales	93.0000	1	94.0	134751	.00000742	.0106
