taxonomic_group	taxon_primer_hits	taxon_primer_misses	taxon_total_observed	total_filtered_seqs	fraction_total_filtered_sequences_mismatched	fraction_taxon_mismatched
d:Eukaryota,p:Amoebozoa,c:Mycamoeba,o:metagenome		0	0	4360	0	0
d:Eukaryota,p:Amoebozoa,c:metagenome,o:metagenome	1.0000	0	1.0	4360	0	0
d:Eukaryota,p:Amoebozoa,c:Incertae_Sedis,o:WIM_1_lineage		0	0	4360	0	0
d:Eukaryota,p:Amoebozoa,c:Incertae_Sedis,o:Dictyamoeba		0	0	4360	0	0
d:Eukaryota,p:Amoebozoa,c:Gracilipodida,o:metagenome		0	0	4360	0	0
d:Eukaryota,p:Amoebozoa,c:Gracilipodida,o:Flamella		0	0	4360	0	0
d:Eukaryota,p:Amoebozoa,c:Gracilipodida,o:Filamoeba		0	0	4360	0	0
d:Eukaryota,p:Amoebozoa,c:Discosea,o:uncultured_marine_eukaryote		0	0	4360	0	0
d:Eukaryota,p:Amoebozoa,c:Discosea,o:Mayorella_sp._JJP-2003		0	0	4360	0	0
d:Eukaryota,p:Amoebozoa,c:Discosea,o:Longamoebia	1.0000	0	1.0	4360	0	0
d:Eukaryota,p:Amoebozoa,c:Dictyostelia,o:Dictyostelium		0	0	4360	0	0
d:Eukaryota,p:Amoebozoa,c:Cavosteliida,o:uncultured_eukaryote		0	0	4360	0	0
d:Eukaryota,p:Amoebozoa,c:Cavosteliida,o:Schizoplasmodiopsis		0	0	4360	0	0
d:Eukaryota,p:Amoebozoa,c:Archamoebae,o:Incertae_Sedis		0	0	4360	0	0
d:Eukaryota,p:Alveolata,c:Dinophyta,o:Dinophyceae		0	0	4360	0	0
d:Bacteria,p:Zixibacteria,c:uncultured_organism,o:uncultured_organism		0	0	4360	0	0
d:Bacteria,p:Zixibacteria,c:uncultured_delta_proteobacterium,o:uncultured_delta_proteobacterium		0	0	4360	0	0
d:Bacteria,p:Zixibacteria,c:uncultured_bacterium,o:uncultured_bacterium		0	0	4360	0	0
d:Bacteria,p:WPS-2,c:uncultured_cyanobacterium,o:uncultured_cyanobacterium		0	0	4360	0	0
d:Bacteria,p:WPS-2,c:uncultured_bacterium,o:uncultured_bacterium		0	0	4360	0	0
d:Bacteria,p:WPS-2,c:metagenome,o:metagenome		0	0	4360	0	0
d:Bacteria,p:WPS-2,c:hydrothermal_vent_metagenome,o:hydrothermal_vent_metagenome		0	0	4360	0	0
d:Bacteria,p:WOR-1,c:uncultured_bacterium,o:uncultured_bacterium		0	0	4360	0	0
d:Bacteria,p:Verrucomicrobia,c:Verrucomicrobiae,o:Verrucomicrobiales		0	0	4360	0	0
d:Bacteria,p:Verrucomicrobia,c:Verrucomicrobiae,o:uncultured		0	0	4360	0	0
d:Bacteria,p:Verrucomicrobia,c:Verrucomicrobiae,o:S-BQ2-57_soil_group		0	0	4360	0	0
d:Bacteria,p:Verrucomicrobia,c:Verrucomicrobiae,o:Pedosphaerales		0	0	4360	0	0
d:Bacteria,p:Verrucomicrobia,c:Verrucomicrobiae,o:Opitutales		0	0	4360	0	0
d:Bacteria,p:Verrucomicrobia,c:Verrucomicrobiae,o:Methylacidiphilales		0	0	4360	0	0
